"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"NOSTUFF";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";"USE";
"U$3";"MINI-SAS";"MINI-SAS";"MINI-SAS";"Mini-SAS connector, right angle through hole";"";"";"";"";"";"";"";"";"";"";"";"";"";"1888019-4";
"U$4";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$5";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$6";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$8";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$9";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$14";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$15";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$16";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"U$17";"74LVC1T45GWSOT866";"74LVC1T45GWSOT866";"SOT886";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74LVCH1T45GS,132";
"ZTURN";"ZTURN";"ZTURN";"ZTURN";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
